"numer","wiek","plec","wyksztalcenie","miejsce","kwota","wojewodztwo","wysylka_oferty","zakup"
39,34,1,"srednie","m10_100",72.0416920466914,"dolsl",0,0
40,26,0,"srednie","m10_100",288.032067330324,"wielkop",0,0
41,23,1,"srednie","m_500",104.186778517188,"podkar",1,0
42,26,1,"srednie","m100_500",140.926420770652,"dolsl",1,1
43,35,0,"wyzsze","m_500",100.566973973777,"ma³op",0,1
44,21,1,"srednie","m_500",0,"dolsl",0,0
45,23,1,"srednie","m0_10",123.857722522175,"zachpom",1,1
46,42,1,"srednie","m10_100",39.9202563812698,"mazow",1,1
47,32,1,"wyzsze","m10_100",56.4599941502661,"dolsl",0,1
48,20,0,"srednie","m_500",103.775069990423,"³ódz",0,0
49,24,0,"wyzsze","m_500",117.897194677396,"dolsl",0,1
50,31,1,"srednie","m10_100",142.034766992254,"dolsl",1,1
51,30,1,"wyzsze","m_500",81.092474111027,"ma³op",0,0
52,20,0,"srednie","m10_100",56.2536661108004,"swiêt",1,1
53,20,1,"srednie","m0_10",0,"dolsl",0,0
54,36,0,"srednie","wies",263.241981536027,"dolsl",0,0
55,42,0,"wyzsze","m10_100",156.021248750058,"dolsl",0,0
56,29,0,"policealne","wies",46.5234963655522,"sl¹s",1,0
57,49,0,"srednie","m0_10",72.037919234652,"zachpom",1,0
58,22,1,"srednie","m_500",38.5133296548154,"zachpom",0,0
59,37,1,"srednie","m10_100",43.4246281163798,"wielkop",0,0
60,45,0,"srednie","m0_10",79.9198120240056,"zachpom",0,0
61,28,1,"srednie","m0_10",84.9481452786849,"wielkop",0,0
62,30,0,"wyzsze","m_500",82.2851927409304,"dolsl",0,0
63,19,1,"srednie","m_500",36.8814405842199,"podkar",0,0
64,34,0,"srednie","m0_10",52.1529761240854,"dolsl",0,0
65,36,0,"wyzsze","m_500",54.3310227055296,"dolsl",1,0
66,42,0,"srednie","m10_100",35.5248736990852,"dolsl",0,0
67,33,0,"podstawowe","m100_500",14.6084936523572,"sl¹s",0,0
68,29,1,"srednie","m10_100",113.820068860754,"dolsl",1,1
69,34,1,"policealne","m10_100",128.512856811937,"dolsl",0,0
70,27,0,"srednie","m100_500",149.723403700638,"dolsl",1,0
71,28,0,"srednie","m_500",98.312207371302,"ma³op",0,0
72,25,0,"srednie","m10_100",146.756230974202,"dolsl",1,1
73,28,1,"srednie","m100_500",92.783415581533,"warmaz",0,0
74,36,0,"srednie","m10_100",39.266138908182,"zachpom",0,0
75,32,0,"wyzsze","m_500",54.7312198191065,"dolsl",0,1
76,26,0,"srednie","m_500",120.468559890687,"zachpom",1,0
77,20,0,"srednie","m0_10",132.621737311396,"zachpom",0,0
78,19,1,"srednie","m10_100",219.761094544764,"dolsl",0,0
79,31,1,"srednie","wies",110.188799152992,"zachpom",0,0
80,28,1,"srednie","m10_100",72.0554478504809,"sl¹s",0,0
81,49,1,"srednie","m100_500",30.5298416739999,"dolsl",1,1
82,45,0,"policealne","m0_10",20.0342852927584,"mazow",0,0
83,24,0,"wyzsze","m_500",181.664935402191,"dolsl",0,0
84,28,0,"wyzsze","m100_500",0,"dolsl",0,0
85,30,1,"srednie","m10_100",70.6791005837955,"zachpom",0,0
86,31,0,"srednie","m0_10",100.628480121666,"dolsl",0,0
87,20,0,"srednie","m0_10",171.090073116655,"mazow",0,0
88,22,1,"srednie","m10_100",0,"mazow",0,0
89,24,1,"srednie","m10_100",69.75778477058,"sl¹s",0,0
90,33,1,"wyzsze","m_500",50.1167823980312,"dolsl",0,1
91,21,0,"srednie","m10_100",92.429430400389,"dolsl",1,1
92,33,0,"wyzsze","m_500",59.0133633891532,"dolsl",0,1
93,23,0,"wyzsze","m100_500",115.543308334654,"dolsl",0,0
94,19,0,"policealne","wies",165.650107883383,"dolsl",1,0
95,21,0,"srednie","m_500",51.7196033939646,"dolsl",0,0
96,24,1,"srednie","m10_100",42.0226753087698,"dolsl",0,0
97,22,1,"srednie","m10_100",86.2645091354051,"sl¹s",0,0
98,27,0,"wyzsze","m_500",180.295486335784,"lubel",0,0
99,22,0,"srednie","m100_500",94.8608959780908,"dolsl",0,0
100,20,0,"srednie","m10_100",110.873947740109,"dolsl",0,0
101,27,1,"srednie","m10_100",40.709778268988,"dolsl",0,0
102,24,1,"srednie","m0_10",156.86241651383,"dolsl",1,1
103,25,0,"srednie","m100_500",92.9464633221957,"sl¹s",0,0
104,18,1,"srednie","m100_500",70.0372190704657,"dolsl",0,0
105,19,1,"srednie","m_500",81.2992552802952,"sl¹s",1,0
106,23,1,"srednie","m100_500",137.918206892817,"zachpom",0,0
107,20,0,"srednie","m100_500",146.068922340976,"sl¹s",0,0
108,38,1,"srednie","m100_500",52.606516411426,"dolsl",1,1
109,35,0,"wyzsze","m10_100",165.239979765921,"dolsl",0,1
110,22,0,"srednie","m100_500",39.1720125113037,"kujpom",0,0
111,23,0,"srednie","m_500",245.910621427079,"mazow",0,0
112,28,0,"wyzsze","m10_100",74.8687890001527,"sl¹s",0,1
113,24,0,"policealne","wies",0,"dolsl",0,0
114,37,1,"brak","wies",130.610384521541,"opol",0,0
115,32,0,"policealne","m0_10",48.7138956040392,"³ódz",0,0
116,37,1,"podstawowe","m0_10",19.9018456499125,"warmaz",0,0
117,26,0,"wyzsze","m_500",65.3463898776528,"dolsl",0,1
118,32,0,"srednie","m0_10",58.1915776274744,"zachpom",0,0
119,20,1,"srednie","m_500",116.317655848619,"dolsl",0,0
120,28,0,"wyzsze","m10_100",0,"dolsl",0,0
121,25,1,"srednie","m100_500",58.5775762574047,"dolsl",1,1
122,24,0,"wyzsze","m10_100",177.929668058375,"dolsl",0,1
123,22,1,"srednie","m100_500",44.7654664635557,"dolsl",1,0
124,22,0,"srednie","m10_100",72.2040635627031,"dolsl",1,0
125,21,1,"srednie","m10_100",196.386988127977,"zachpom",1,1
126,32,0,"srednie","m0_10",25.4320919010808,"dolsl",0,0
127,21,0,"srednie","m10_100",39.3512649826851,"opol",0,0
128,23,0,"policealne","m0_10",65.7389873803926,"sl¹s",0,0
129,36,0,"policealne","wies",138.600349049618,"zachpom",0,0
130,26,1,"podstawowe","m100_500",212.744288099963,"dolsl",0,0
131,28,1,"podstawowe","wies",21.1356447936201,"mazow",0,0
132,23,0,"srednie","wies",0,"dolsl",1,0
133,18,0,"srednie","m_500",58.3008313894403,"dolsl",0,0
134,19,0,"policealne","m0_10",99.1150440456357,"dolsl",0,0
135,23,0,"srednie","m10_100",0,"ma³op",0,0
136,25,1,"policealne","m10_100",205.242463308340,"wielkop",0,0
137,59,0,"srednie","m0_10",82.7556264965158,"dolsl",0,0
138,29,0,"srednie","m_500",114.043060296261,"mazow",0,0
139,34,1,"srednie","m10_100",0,"dolsl",0,0
140,18,1,"srednie","m10_100",201.349425451491,"dolsl",0,0
141,18,0,"podstawowe","m100_500",0,"dolsl",0,0
142,51,0,"podstawowe","m0_10",51.9768228726068,"dolsl",1,0
143,25,0,"srednie","m_500",99.2654984724647,"zachpom",1,0
144,29,0,"wyzsze","m_500",84.3067093206583,"dolsl",0,1
145,27,0,"wyzsze","m100_500",144.106060091402,"dolsl",0,0
146,33,0,"brak","m10_100",113.593120486798,"kujpom",1,0
147,46,1,"srednie","m_500",60.5129403106537,"sl¹s",0,0
148,33,0,"podstawowe","m0_10",66.1285349863625,"dolsl",0,0
149,19,0,"srednie","m_500",49.4379280221281,"dolsl",0,0
150,38,1,"srednie","m10_100",175.771121733676,"dolsl",0,0
151,32,0,"srednie","m10_100",58.9904008179806,"podkar",1,0
152,31,0,"podstawowe","wies",123.513018166082,"dolsl",0,0
153,23,0,"srednie","m10_100",88.6471626162375,"pomo",0,0
154,21,0,"srednie","m0_10",64.0352259733342,"dolsl",0,0
155,27,0,"srednie","m100_500",67.5195541863974,"dolsl",1,1
156,30,0,"srednie","m10_100",100.901516073505,"³ódz",1,1
157,25,0,"srednie","m0_10",169.965937248978,"dolsl",0,0
158,34,0,"wyzsze","m0_10",110.479105919710,"mazow",0,1
159,18,0,"srednie","m_500",112.610167083791,"dolsl",0,0
160,18,0,"srednie","m100_500",53.1208913295528,"zachpom",0,0
161,23,0,"wyzsze","m10_100",191.910711591144,"podlas",0,1
162,23,0,"wyzsze","m10_100",40.3830467931643,"zachpom",1,0
163,25,0,"srednie","m10_100",287.43368072701,"dolsl",0,0
164,33,0,"wyzsze","m_500",27.0539761621806,"dolsl",0,0
165,23,0,"srednie","m100_500",76.5220666962548,"mazow",0,0
166,22,0,"srednie","wies",63.9586550743167,"sl¹s",0,0
167,18,1,"podstawowe","m0_10",85.6771642036927,"dolsl",0,0
168,23,0,"wyzsze","m_500",86.0412177523889,"dolsl",0,0
169,23,0,"wyzsze","m_500",152.79795240028,"lubus",0,0
170,32,1,"policealne","wies",21.4611119006637,"zachpom",0,0
171,33,1,"srednie","m0_10",18.9942223602565,"mazow",0,0
172,39,1,"srednie","m100_500",62.7980141103063,"dolsl",0,0
173,21,1,"srednie","m100_500",39.2369188297699,"dolsl",0,0
174,32,1,"wyzsze","m100_500",0,"sl¹s",0,0
175,23,0,"srednie","m100_500",63.9436193697299,"swiêt",0,0
176,32,0,"podstawowe","wies",0,"warmaz",0,0
177,18,0,"srednie","m_500",145.388055944050,"sl¹s",0,0
178,31,0,"srednie","m0_10",153.131605854771,"dolsl",0,0
179,20,0,"srednie","m10_100",61.1449516445666,"dolsl",0,1
180,27,0,"wyzsze","m_500",0,"kujpom",0,0
181,26,0,"wyzsze","m_500",41.2134443046372,"warmaz",0,0
182,30,0,"srednie","m10_100",44.5536072598769,"ma³op",0,0
183,56,1,"srednie","wies",91.2836225800807,"zachpom",1,0
184,37,1,"wyzsze","m100_500",0,"dolsl",0,1
185,28,0,"srednie","m0_10",107.047971880731,"sl¹s",0,0
186,33,1,"wyzsze","m100_500",53.341385589689,"dolsl",0,0
187,27,0,"policealne","m100_500",16.8829694477251,"lubel",0,0
188,29,0,"wyzsze","m_500",76.5744467352087,"dolsl",0,1
189,30,0,"srednie","m0_10",0,"podlas",0,0
190,33,1,"srednie","m0_10",96.6419308298024,"zachpom",0,0
191,29,1,"podstawowe","wies",127.98330781983,"dolsl",0,0
192,19,1,"srednie","m_500",86.1025994313603,"ma³op",1,1
193,27,0,"wyzsze","m0_10",160.707973267208,"dolsl",0,0
194,21,1,"srednie","m10_100",52.886696287668,"dolsl",1,1
195,26,0,"srednie","m_500",49.419577241917,"wielkop",0,0
196,23,0,"srednie","m0_10",71.5697030601612,"dolsl",0,0
197,18,0,"srednie","m0_10",66.148593222522,"ma³op",0,0
198,36,1,"srednie","m10_100",176.376765756704,"pomo",0,0
199,23,0,"policealne","m0_10",0,"dolsl",0,1
200,27,0,"srednie","m10_100",261.358996334463,"zachpom",0,0
201,36,0,"podstawowe","wies",83.8362512174017,"zachpom",0,0
202,25,0,"srednie","m10_100",0,"dolsl",0,0
203,26,0,"wyzsze","m10_100",202.205195585012,"dolsl",1,1
204,39,0,"srednie","m10_100",118.846847083757,"dolsl",0,0
205,33,0,"wyzsze","m0_10",56.8934191044289,"dolsl",0,1
206,31,1,"srednie","m0_10",56.0954699850639,"dolsl",0,0
207,39,1,"srednie","m0_10",24.5779710297176,"zachpom",0,0
208,25,1,"wyzsze","m_500",25.6816727431267,"dolsl",0,0
209,22,0,"srednie","m_500",67.2103479083435,"ma³op",0,0
210,31,0,"podstawowe","m0_10",156.002891236649,"wielkop",1,1
211,31,0,"srednie","m0_10",145.119044295942,"zachpom",0,0
212,29,1,"wyzsze","m10_100",64.7637239784814,"mazow",0,1
213,26,0,"podstawowe","m0_10",108.099874798264,"dolsl",0,0
214,24,0,"srednie","m10_100",0,"dolsl",0,0
215,21,1,"srednie","m10_100",37.3141269956868,"zachpom",1,0
216,28,0,"wyzsze","m100_500",82.129620729614,"wielkop",0,0
217,30,0,"podstawowe","wies",166.654106389943,"wielkop",0,0
218,25,0,"srednie","m10_100",47.3408919086333,"dolsl",0,0
219,18,1,"srednie","m100_500",29.728568661328,"zachpom",0,0
220,18,0,"srednie","m100_500",97.671357403208,"mazow",1,1
221,26,0,"wyzsze","m100_500",75.2715474049909,"dolsl",0,0
222,44,0,"podstawowe","m0_10",29.1554767767178,"kujpom",0,0
223,30,0,"policealne","wies",129.493857138314,"dolsl",1,0
224,27,0,"srednie","m10_100",0,"podkar",0,0
225,22,1,"srednie","m10_100",65.7433814286714,"dolsl",1,0
226,25,1,"wyzsze","m100_500",79.440445890805,"zachpom",0,1
227,22,0,"policealne","m0_10",82.2165864535372,"dolsl",0,0
228,20,0,"podstawowe","wies",65.4990983669755,"mazow",0,0
229,19,0,"srednie","m100_500",117.630250793408,"sl¹s",0,0
230,21,0,"srednie","m0_10",60.9997172901474,"zachpom",0,0
231,18,0,"srednie","m10_100",64.1968805212154,"dolsl",0,0
232,31,0,"srednie","m10_100",77.4779741285809,"sl¹s",0,0
233,27,0,"wyzsze","m100_500",51.641963106273,"dolsl",0,0
234,24,0,"srednie","m100_500",0,"dolsl",1,1
235,22,0,"srednie","m10_100",77.3630848246752,"dolsl",1,1
236,25,1,"podstawowe","m0_10",169.507228857879,"podkar",0,0
237,28,0,"wyzsze","m_500",82.5443394608101,"zachpom",0,0
238,50,1,"srednie","m0_10",59.9144255892453,"zachpom",0,0
239,42,0,"srednie","m0_10",85.8216569045372,"zachpom",0,0
240,32,0,"wyzsze","m100_500",157.005089054169,"zachpom",1,0
241,27,0,"wyzsze","m10_100",216.905290321586,"sl¹s",0,1
242,44,0,"srednie","m100_500",0,"pomo",0,0
243,30,0,"srednie","m10_100",68.0299771588046,"dolsl",0,0
244,21,0,"srednie","m10_100",36.0617557485857,"dolsl",0,0
245,20,0,"srednie","m100_500",108.899718570779,"mazow",0,0
246,19,1,"srednie","m100_500",50.9540227045302,"³ódz",0,0
247,25,0,"podstawowe","m0_10",305.496379734312,"dolsl",0,0
248,44,1,"srednie","m100_500",27.8605592938324,"³ódz",0,0
249,36,1,"srednie","m100_500",90.085152860673,"wielkop",0,0
250,40,0,"brak","m0_10",4.22939014997898,"³ódz",0,0
251,22,0,"srednie","m100_500",113.466108542965,"zachpom",1,1
252,21,0,"policealne","m100_500",57.696198628035,"zachpom",0,0
253,26,0,"srednie","m10_100",103.659093421515,"zachpom",0,0
254,27,0,"wyzsze","m_500",46.2220736982378,"dolsl",1,1
255,23,1,"srednie","wies",52.0803921793015,"zachpom",0,0
256,24,0,"wyzsze","m_500",59.0942905805872,"sl¹s",0,1
257,29,0,"srednie","m0_10",140.258346992637,"dolsl",0,0
258,35,0,"srednie","m10_100",81.239839750006,"dolsl",0,0
259,26,0,"srednie","m10_100",116.50571728871,"dolsl",0,0
260,31,0,"brak","m0_10",83.7535922387958,"podkar",1,0
261,24,1,"wyzsze","m100_500",0,"dolsl",1,1
262,19,0,"srednie","m0_10",82.5974762924272,"sl¹s",0,0
263,41,0,"srednie","m10_100",59.9162159477833,"lubel",1,0
264,34,1,"srednie","m10_100",85.612413696847,"dolsl",0,0
265,39,1,"srednie","wies",46.6607241285094,"dolsl",0,0
266,45,0,"wyzsze","m100_500",35.1634932035529,"dolsl",1,1
267,20,0,"srednie","m100_500",81.2190606817909,"mazow",0,0
268,26,0,"podstawowe","m0_10",86.9523182947541,"dolsl",1,0
269,24,0,"wyzsze","m10_100",71.2368033628557,"swiêt",0,0
270,19,1,"srednie","m100_500",65.4145168199084,"opol",0,0
271,34,1,"srednie","m0_10",59.1127925158315,"zachpom",0,0
272,28,0,"wyzsze","m_500",63.5521762526012,"pomo",0,1
273,27,0,"srednie","m10_100",55.8685044825222,"pomo",0,1
274,43,1,"podstawowe","wies",81.6582228322217,"swiêt",0,0
275,24,0,"srednie","m_500",41.6059877213998,"dolsl",0,0
276,25,1,"wyzsze","m10_100",199.052194030842,"zachpom",0,1
277,45,0,"srednie","wies",85.0949830152239,"dolsl",1,0
278,22,0,"podstawowe","m10_100",73.0410116936434,"dolsl",0,0
279,23,0,"wyzsze","m100_500",32.5801613793722,"dolsl",1,0
280,28,1,"wyzsze","m_500",135.987010337662,"swiêt",1,1
281,25,0,"wyzsze","m0_10",53.7023016970877,"dolsl",1,1
282,20,1,"srednie","m_500",88.678302007341,"zachpom",1,0
283,25,1,"srednie","m10_100",78.1274571056114,"kujpom",0,0
284,31,0,"srednie","m100_500",46.9774117197287,"zachpom",0,0
285,24,0,"podstawowe","wies",49.661381845203,"pomo",0,0
286,20,0,"srednie","m0_10",189.810313852503,"dolsl",0,0
287,21,0,"srednie","m100_500",66.0576190020538,"dolsl",0,0
288,26,0,"wyzsze","m_500",92.8507991200289,"dolsl",1,1
289,29,0,"srednie","m10_100",96.2479060292131,"dolsl",0,0
290,28,1,"wyzsze","m10_100",0,"kujpom",1,1
291,26,0,"srednie","m0_10",44.3367928424327,"dolsl",0,0
292,23,0,"srednie","m0_10",152.839495724630,"dolsl",0,0
293,26,0,"wyzsze","m0_10",138.261860852788,"zachpom",0,0
294,25,0,"podstawowe","m0_10",94.2916996422989,"dolsl",0,0
295,26,0,"policealne","wies",136.580658139804,"podlas",1,0
296,29,0,"podstawowe","wies",117.000264199739,"dolsl",0,0
297,30,1,"srednie","m100_500",154.67799474687,"dolsl",0,0
298,21,0,"srednie","m10_100",33.4447471017593,"zachpom",1,1
299,27,1,"srednie","m100_500",0,"dolsl",0,0
300,30,0,"wyzsze","m_500",81.7880715421648,"kujpom",0,1
301,37,1,"podstawowe","m0_10",189.813037187260,"dolsl",0,0
302,23,1,"srednie","m0_10",0,"mazow",0,0
303,36,1,"srednie","m100_500",42.1106761234705,"dolsl",1,1
304,27,0,"srednie","m0_10",84.9365486853777,"zachpom",0,0
305,30,0,"podstawowe","wies",0,"dolsl",0,0
306,27,1,"srednie","m0_10",68.3741590008343,"dolsl",0,0
307,33,0,"podstawowe","wies",0,"zachpom",0,0
308,28,0,"podstawowe","m0_10",0,"dolsl",0,0
309,24,0,"wyzsze","m_500",88.6327973253027,"³ódz",0,0
310,26,1,"wyzsze","m100_500",171.298497633988,"dolsl",0,0
311,18,0,"srednie","m0_10",38.5915179828258,"zachpom",1,1
312,31,1,"podstawowe","m0_10",45.802436461902,"dolsl",0,0
313,26,1,"wyzsze","m_500",31.2902171204495,"dolsl",1,1
314,22,0,"srednie","m0_10",128.05792511953,"dolsl",0,0
315,21,0,"srednie","m100_500",50.3137515018872,"dolsl",0,0
316,21,0,"srednie","m_500",214.080042624993,"dolsl",1,1
317,42,0,"wyzsze","m10_100",167.762411172335,"ma³op",0,1
318,39,1,"srednie","m0_10",40.572275717318,"dolsl",1,0
319,20,0,"srednie","m100_500",186.428968696317,"dolsl",1,1
320,34,1,"srednie","m0_10",34.2303687987997,"dolsl",0,0
321,34,0,"srednie","m10_100",0,"dolsl",0,0
322,28,0,"wyzsze","m_500",29.5147796067992,"sl¹s",1,0
323,26,0,"wyzsze","m10_100",123.305794687854,"zachpom",1,1
324,18,0,"srednie","m_500",114.700566090766,"dolsl",0,0
325,38,1,"wyzsze","m10_100",41.889374147834,"dolsl",0,0
326,22,0,"podstawowe","wies",94.8374903231412,"mazow",0,0
327,23,1,"srednie","m10_100",0,"ma³op",0,0
328,19,0,"srednie","m100_500",156.392642972844,"dolsl",0,0
329,26,0,"wyzsze","m100_500",74.6743076299074,"zachpom",1,1
330,32,1,"srednie","m10_100",123.655129358664,"podkar",0,0
331,22,0,"srednie","m_500",213.375221857911,"ma³op",0,0
332,23,0,"srednie","m100_500",154.472682814277,"zachpom",0,0
333,35,0,"srednie","wies",250.951992298717,"mazow",1,0
334,44,0,"srednie","wies",323.195770964556,"dolsl",0,0
335,20,1,"srednie","m_500",79.2991697025734,"mazow",0,0
336,20,1,"srednie","m10_100",33.2928012100692,"dolsl",0,0
337,29,0,"srednie","m100_500",233.835606986109,"dolsl",0,0
338,28,1,"podstawowe","m0_10",11.3569977862189,"sl¹s",0,0
339,23,1,"podstawowe","wies",16.0329908924865,"dolsl",0,0
340,24,0,"wyzsze","m_500",56.8571762164728,"zachpom",1,1
341,27,0,"wyzsze","m_500",163.597709171586,"dolsl",0,1
342,27,1,"srednie","m0_10",96.3565043413743,"dolsl",0,0
343,24,1,"srednie","m_500",24.4648157883655,"zachpom",0,0
344,20,1,"srednie","m_500",40.2196990362198,"dolsl",0,0
345,33,1,"srednie","m100_500",42.382259718521,"dolsl",0,0
346,36,1,"policealne","wies",282.122923762925,"dolsl",0,0
347,22,1,"srednie","m10_100",46.085460488305,"zachpom",0,0
348,18,0,"srednie","m_500",0,"zachpom",0,0
349,20,0,"srednie","m_500",0,"dolsl",1,0
350,21,0,"podstawowe","m0_10",0,"dolsl",0,0
351,38,1,"policealne","m10_100",82.5554653814699,"dolsl",1,0
352,20,0,"srednie","m_500",98.3859978196336,"dolsl",1,1
353,34,1,"srednie","m0_10",0,"dolsl",0,1
354,38,0,"wyzsze","m100_500",0,"dolsl",0,0
355,20,0,"srednie","m_500",120.156826919788,"ma³op",0,0
356,46,0,"srednie","m0_10",0,"zachpom",0,0
357,39,0,"srednie","m10_100",65.6913036313188,"sl¹s",0,0
358,23,1,"wyzsze","m_500",140.128584082705,"dolsl",0,1
359,25,0,"srednie","m10_100",231.551648646595,"dolsl",0,0
360,32,1,"wyzsze","m_500",130.101779754169,"sl¹s",0,0
361,19,1,"srednie","m100_500",0,"dolsl",0,0
362,18,1,"srednie","m0_10",42.710664415338,"dolsl",0,0
363,23,1,"wyzsze","wies",106.301279974052,"zachpom",0,0
364,23,0,"srednie","m100_500",52.1785878969534,"dolsl",0,0
365,23,0,"srednie","m10_100",31.7599812992998,"dolsl",1,1
366,20,0,"policealne","m0_10",28.4096836974248,"dolsl",1,0
367,27,0,"srednie","m_500",141.802223922697,"zachpom",0,0
368,29,0,"srednie","m10_100",0,"dolsl",0,0
369,27,0,"srednie","m_500",56.4882849497133,"podkar",0,0
370,28,0,"srednie","wies",31.4203870256777,"dolsl",0,0
371,22,0,"srednie","m100_500",147.357402921433,"dolsl",0,0
372,20,1,"podstawowe","m0_10",80.202573904365,"dolsl",0,0
373,23,1,"wyzsze","m_500",182.399438363076,"³ódz",0,0
374,30,0,"wyzsze","m100_500",160.910907722989,"zachpom",0,1
375,18,1,"srednie","m_500",53.0629791765831,"zachpom",0,0
376,20,1,"srednie","m100_500",0,"zachpom",0,0
377,32,0,"wyzsze","m_500",56.9905010039566,"zachpom",0,1
378,25,0,"srednie","m10_100",154.326015662933,"zachpom",1,1
379,22,1,"policealne","m0_10",60.8611826617143,"dolsl",0,0
380,40,0,"srednie","m0_10",144.851121947100,"dolsl",0,0
381,20,0,"srednie","m_500",174.799578469556,"dolsl",0,0
382,46,0,"srednie","m10_100",79.489754021062,"dolsl",0,0
383,27,1,"wyzsze","m_500",57.8264076137191,"dolsl",0,1
384,30,0,"srednie","m100_500",50.0379978233767,"dolsl",1,0
385,23,1,"srednie","m_500",181.812571946470,"ma³op",1,1
386,31,0,"wyzsze","m_500",111.732151950037,"zachpom",0,1
387,28,0,"wyzsze","m_500",168.038264883195,"lubel",0,1
388,24,1,"srednie","m10_100",58.9553126433033,"dolsl",0,0
389,33,0,"srednie","m100_500",100.553564624391,"zachpom",0,0
390,37,1,"podstawowe","m10_100",52.3744675894514,"swiêt",1,0
391,18,1,"srednie","m100_500",120.342934260504,"pomo",0,0
392,36,0,"srednie","m0_10",109.730683925167,"dolsl",0,0
393,33,1,"srednie","m100_500",37.4496906594913,"dolsl",0,0
394,25,1,"podstawowe","m100_500",179.665076378595,"zachpom",0,0
395,32,0,"wyzsze","m10_100",0,"zachpom",0,1
396,30,0,"wyzsze","m_500",39.9821513259727,"zachpom",1,0
397,38,0,"srednie","m0_10",65.6014644900942,"dolsl",0,0
398,18,1,"srednie","m10_100",0,"dolsl",0,0
399,20,1,"srednie","m10_100",186.212760916987,"dolsl",0,0
400,24,1,"srednie","m_500",35.5821055845906,"dolsl",1,1
401,22,0,"srednie","m10_100",28.3716652330728,"mazow",0,0
402,25,1,"srednie","m100_500",0,"dolsl",0,0
403,38,1,"srednie","m100_500",74.9450101772599,"dolsl",0,0
404,25,1,"podstawowe","wies",62.3448425879404,"zachpom",0,0
405,29,1,"podstawowe","m100_500",102.368383379873,"dolsl",0,0
406,46,0,"srednie","m0_10",193.444217909418,"zachpom",0,0
407,37,0,"podstawowe","m0_10",42.5146714222129,"dolsl",0,0
408,29,1,"podstawowe","wies",1.56283433206300,"dolsl",0,0
409,19,0,"srednie","m10_100",41.0998032038848,"³ódz",0,0
410,28,0,"wyzsze","m100_500",86.7937454191628,"³ódz",0,0
411,34,0,"podstawowe","m10_100",32.5034271834425,"dolsl",1,0
412,31,1,"srednie","m100_500",112.780641300870,"kujpom",0,0
413,21,0,"srednie","m100_500",48.7924667997121,"pomo",0,0
414,23,1,"srednie","m0_10",101.751440826711,"dolsl",0,0
415,26,0,"wyzsze","m0_10",61.988547860191,"dolsl",0,0
416,27,1,"wyzsze","m_500",46.958421644756,"warmaz",1,1
417,30,0,"policealne","wies",96.0605923023692,"dolsl",0,0
418,28,1,"srednie","m10_100",117.232431147474,"dolsl",0,0
419,21,0,"srednie","m100_500",51.243755820186,"zachpom",0,0
